projectId	terminologyId	name	description
801	2.16.840.1.113883.2.20.3.208	Canada Infoway Project	Canada Infoway Project
801	Translation Test	Canada Infoway Project	Canada Infoway Project
401	21000003109	Cardiology Refset v1.1	Cardiology Refset v1.1
401	211000003103	Cardiology Refset v1.1	Cardiology Refset v1.1
401	TMP-pbud2t	Cardiology Refset v1.1	Cardiology Refset v1.1
401	TMP-615wx7	Cardiology Refset v1.1	Cardiology Refset v1.1
553	TMP-nzk79c	Cardiothoracic Refset 1.0	Cardiothoracic Refset 1.0
553	TMP-lmo338	Cardiothoracic Refset 1.0	Cardiothoracic Refset 1.0
851	TMP-sdr2h9	CDAC Training Project	CDAC Training Project
851	TMP-5qeptv	CDAC Training Project	CDAC Training Project
851	TMP-dlvufv	CDAC Training Project	CDAC Training Project
851	951000003107	CDAC Training Project	CDAC Training Project
851	971000003104	CDAC Training Project	CDAC Training Project
851	1061000003107	CDAC Training Project	CDAC Training Project
851	1501000003103	CDAC Training Project	CDAC Training Project
851	8271000003100	CDAC Training Project	CDAC Training Project
1551	TMP-8qk714	CHR Haute Senne Project	CHR Haute Senne (Soignies)
3555	791000220109	Chronic Disease Management (Ireland)	Chronic Disease Management (Ireland)
4853	TMP-rl33x0	Common German Group	Common German Group
4853	81001000100	Common German Group	Common German Group
4853	TMP-dynmmx	Common German Group	Common German Group
4853	10071001000102	Common German Group	Common German Group
4853	TMP-ewx64k	Common German Group	Common German Group
4853	TMP-jn2e1w	Common German Group	Common German Group
4853	TMP-ccuq81	Common German Group	Common German Group
4853	TMP-vn1267	Common German Group	Common German Group
4853	TMP-48y20o	Common German Group	Common German Group
4853	TMP-4dhdg3	Common German Group	Common German Group
4853	TMP-ftciqj	Common German Group	Common German Group
4853	TMP-w8rw05	Common German Group	Common German Group
4853	TMP-ti2e06	Common German Group	Common German Group
4853	TMP-zgblvb	Common German Group	Common German Group
4853	TMP-12rf38	Common German Group	Common German Group
4853	TMP-a2n4u7	Common German Group	Common German Group
4853	TMP-p12n3y	Common German Group	Common German Group
4853	TMP-4x6i4m	Common German Group	Common German Group
4853	TMP-t1j2cg	Common German Group	Common German Group
4853	TMP-dbk9kz	Common German Group	Common German Group
4853	TMP-cw7vaj	Common German Group	Common German Group
4853	TMP-8lsqat	Common German Group	Common German Group
1902	TMP-6e9qje	Core problems norway	Test
1902	TMP-lr6hqu	Core problems norway	Test
1902	TMP-62lx8d	Core problems norway	Test
1902	TMP-n9hsnn	Core problems norway	Test
1902	TMP-j0cxab	Core problems norway	Test
1902	TMP-gtbyj0	Core problems norway	Test
3556	811000220108	Coronavirus reference set Ireland	Coronavirus reference set Ireland
2853	TMP-r9y2l9	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-ti5j43	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-x8ncf4	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-s00xcv	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-bx98rh	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-6y0huk	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-zvkjvs	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-d2xbpc	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-939gyb	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-u7intn	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-exa3hk	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-cj63mn	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-udl36l	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-9adyjd	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-ek29mc	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-rmsbva	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-4ufgsd	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-r56s0x	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-dk3apm	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-xzesl6	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-l0p4wv	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-vaaom0	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-j5r3u8	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-3hxp40	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-x50k7d	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-djcd5l	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-len1cb	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-jr4rs4	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-0bilf8	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-w8hx3k	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-dttrrk	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-smir87	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-sx3ofw	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-e4cvmv	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-kfsvk0	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-kykvu3	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-pqqd1o	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-ddplt4	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-tdl0wg	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-39jbld	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-5bcx6f	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-vhxgf8	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-jx5fdq	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-imcxaj	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-swq8u1	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-k8c44f	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-a7eonx	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-wsbyub	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-prkzjz	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-c9a4a7	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-ys3kub	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-nbzyfi	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-z0bmzv	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-3gfkk6	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-n04bmv	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-y866k4	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-qgp542	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-yzcw2i	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-4y9rpi	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-9qyxrp	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-9qyxrp	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-nv3hfl	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-6f3ecy	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-xswo2j	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-xzlrc9	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-4y9rpi	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-ddplt4	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-ddplt4	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-xswo2j	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-xswo2j	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-xswo2j	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
2853	TMP-nv3hfl	COVID-19 Subsets	This project includes a group of subsets relevant collecting data related to the COVID-19 pandemic.
4104	TMP-04d8r9	CSIRO Project	A project for the CSIRO team
4104	TMP-tepifc	CSIRO Project	A project for the CSIRO team
4104	TMP-8234qh	CSIRO Project	A project for the CSIRO team
4104	TMP-xgf236	CSIRO Project	A project for the CSIRO team
4104	TMP-xv3kbf	CSIRO Project	A project for the CSIRO team
5253	TMP-em9wh4	Czech Translation project	Czech Translation project
5253	TMP-2h23uk	Czech Translation project	Czech Translation project
1653	TMP-vbjowr	Danish Training Project	DK Training Project (Termserver)
1653	TMP-k4x93u	Danish Training Project	DK Training Project (Termserver)
1653	TMP-p30dy3	Danish Training Project	DK Training Project (Termserver)
1653	TMP-yk73wu	Danish Training Project	DK Training Project (Termserver)
1653	TMP-omqm20	Danish Training Project	DK Training Project (Termserver)
1653	TMP-kjuwig	Danish Training Project	DK Training Project (Termserver)
1653	TMP-avulpi	Danish Training Project	DK Training Project (Termserver)
1653	TMP-0qcj2q	Danish Training Project	DK Training Project (Termserver)
1653	TMP-o0cdri	Danish Training Project	DK Training Project (Termserver)
1653	TMP-o64xzm	Danish Training Project	DK Training Project (Termserver)
1653	TMP-u4qm72	Danish Training Project	DK Training Project (Termserver)
1653	TMP-yeonnb	Danish Training Project	DK Training Project (Termserver)
1653	TMP-uloq9w	Danish Training Project	DK Training Project (Termserver)
1653	TMP-kec7rq	Danish Training Project	DK Training Project (Termserver)
1653	TMP-e80wg9	Danish Training Project	DK Training Project (Termserver)
7453	TMP-wpv3bd	Dåperens kule refsetz	gfsda
102	TMP-sk1j6f	Davids Test	David Markwell Demo project
102	TMP-vgoa0a	Davids Test	David Markwell Demo project
102	TMP-g72oga	Davids Test	David Markwell Demo project
4653	12401000202106	Decap1	Authoring handler
4553	TMP-c3b06x	Dekap	Decapitalization
7503	TMP-zcr1ji	Demo for PKT	Prosjekt etablert for å utforske muligheter knyttet til subset-håndtering i PKT
7504	TMP-acpoxd	Demo for PKT - 2	Demo for test av verktøy. Denne gangen på versjonert innhold
1203	TMP-bpi7jy	Demo for St Pierre	Demo for St Pierre
1203	TMP-g1kdi7	Demo for St Pierre	Demo for St Pierre
1203	TMP-s7h9oo	Demo for St Pierre	Demo for St Pierre
1203	TMP-s7h9oo	Demo for St Pierre	Demo for St Pierre
1203	TMP-s7h9oo	Demo for St Pierre	Demo for St Pierre
1203	TMP-hmj5ah	Demo for St Pierre	Demo for St Pierre
1203	TMP-hmj5ah	Demo for St Pierre	Demo for St Pierre
1203	TMP-neo7m9	Demo for St Pierre	Demo for St Pierre
1203	TMP-rj93rq	Demo for St Pierre	Demo for St Pierre
1203	TMP-rj93rq	Demo for St Pierre	Demo for St Pierre
1203	21000233105	Demo for St Pierre	Demo for St Pierre
1203	TMP-unwhn2	Demo for St Pierre	Demo for St Pierre
1203	TMP-js5y1m	Demo for St Pierre	Demo for St Pierre
1203	TMP-verdfl	Demo for St Pierre	Demo for St Pierre
1203	TMP-verdfl	Demo for St Pierre	Demo for St Pierre
1101	1	DHD Project	DHD project
1101	2	DHD Project	DHD project
1101	67	DHD Project	DHD project
2961	FindCovid	Diagnósticos	Diagnósticos utilizados no CHUP
2961	TMP-mqzs7c	Diagnósticos	Diagnósticos utilizados no CHUP
2961	teste	Diagnósticos	Diagnósticos utilizados no CHUP
2961	RM-LocaisAnatomicos	Diagnósticos	Diagnósticos utilizados no CHUP
157	TMP-k6bdg3	DK Project	Project for Danish NRC using Browser
157	TMP-ykhjle	DK Project	Project for Danish NRC using Browser
