id	negated	value
88737157	0	(^ 1119415003 | Integrating the Healthcare Enterprise reference set (foundation metadata concept) |)
88737158	0	(^ 721144007 | Global Patient Set (foundation metadata concept) |)
89459903	0	( ( < 928000 AND ( ( ( ( < 64572001 ) MINUS ( * : * = ( (< 31156008 OR < 85421007 OR << 387713003 OR 767023003 OR 424124008 OR < 72704001 OR < 87642003 OR << 236423003 OR << 410942007 OR << 263722006 ) ) ) ) ) MINUS ( (< 17602002 OR < 31541009 OR < 44054006 OR < 46635009 OR << 109355002 OR < 312087002 OR < 56717001 OR << 128462008 ) ) ) ) ) MINUS ( (< 1145242001 OR < 2089002 OR < 64859006 OR < 396275006 OR < 71642004 OR < 157176002 OR < 125606003 OR < 125607007 OR < 125608002 OR < 33737001 OR < 78516000 OR < 58150001 OR < 9682006 OR < 66308002 OR < 60168000 OR < 77493009 OR < 71620000 OR << 35524003 OR < 111245009 OR < 92027006 OR < 254026007 OR 92064000 OR < 73297009 OR < 274147008 OR < 127328006 OR 250127009 OR < 69896004 OR < 48245008 OR < 67531005 OR << 111227009 OR < 128463003 OR < 428281000 OR < 128466006 OR < 52404001 OR < 92237006 OR << 92407004 OR < 84138006 OR < 262971000 OR < 724942006 OR < 724910000 OR < 724907007 OR < 725015002 OR < 726333009 OR < 725004007 OR < 274175005 OR < 398114001 OR < 398199007 OR < 362972006 OR < 84017003 OR < 70736000 OR < 31384009 OR < 78314001 OR < 91637004 OR < 203019005 OR < 409778008 OR << 80406003 ) )
89459904	0	( ( < 928000 AND ( ( ( ( < 64572001 ) MINUS ( * : * = ( (< 31156008 OR < 85421007 OR << 387713003 OR 767023003 OR 424124008 OR < 72704001 OR < 87642003 OR << 236423003 OR << 410942007 OR << 263722006 ) ) ) ) ) MINUS ( (< 17602002 OR < 31541009 OR < 44054006 OR < 46635009 OR << 109355002 OR < 312087002 OR < 56717001 OR << 128462008 ) ) ) ) ) MINUS ( (< 1145242001 OR < 2089002 OR < 64859006 OR < 396275006 OR < 71642004 OR < 157176002 OR < 125606003 OR < 125607007 OR < 125608002 OR < 33737001 OR < 78516000 OR < 58150001 OR < 9682006 OR < 66308002 OR < 60168000 OR < 77493009 OR < 71620000 OR << 35524003 OR < 111245009 OR < 92027006 OR < 254026007 OR 92064000 OR < 73297009 OR < 274147008 OR < 127328006 OR 250127009 OR < 69896004 OR < 48245008 OR < 67531005 OR << 111227009 OR < 128463003 OR < 428281000 OR < 128466006 OR < 52404001 OR < 92237006 OR << 92407004 OR < 84138006 OR < 262971000 OR < 724942006 OR < 724910000 OR < 724907007 OR < 725015002 OR < 726333009 OR < 725004007 OR < 274175005 OR < 398114001 OR < 398199007 OR < 362972006 OR < 84017003 OR < 70736000 OR < 31384009 OR < 78314001 OR < 91637004 OR < 203019005 OR < 409778008 OR << 80406003 ) )
89671353	0	<419036000 |Domain Archaea (organism)|\nOR < 409822003 |Domain Bacteria (organism)|\nOR 84676004 |Prion (organism)| \nOR <49872002 |Virus (organism)|\nOR <414561005 |Kingdom Fungi (organism)|\nOR < 417396000 |Kingdom Protozoa (organism)|\nOR < 106830004 |Subclass Acari (organism)|\nOR <441649000 |Class Cestoda and/or Class Trematoda and/or Phylum Nemata (organism)|\nOR <106744004 |Class Turbellaria (organism)|
90151853	0	(\n  < 128598002|Disorder of integument| AND (\n    (\n      (\n      (\n      < 64572001|Disease|\n    ) MINUS (\n      * : * = (\n        (< 31156008|Structure of left half of body| OR < 85421007|Structure of right half of body| OR << 387713003|Surgical procedure| OR 767023003|Period of life between birth and death| OR 424124008|Sudden onset AND/OR short duration| OR < 72704001|Fracture| OR < 87642003|Dislocation| OR << 236423003|Renal impairment| OR << 410942007|Drug or medicament| OR << 263722006|Complete rupture|)\n      )\n    )\n    )\n  ) MINUS (\n    (< 17602002|Amyloidosis| OR < 31541009|Sarcoidosis| OR < 44054006|Type 2 diabetes mellitus| OR < 46635009|Type 1 diabetes mellitus| OR << 109355002|Carcinoma in situ| OR < 312087002|Disorder following clinical procedure| OR < 56717001|Tuberculosis| OR << 128462008|Secondary malignant neoplastic disease| OR < 70647001|Yaws| OR << 420721002|AIDS-associated disorder| OR < 15628003|Gonorrhoea| OR < 76272004|Syphilis| OR < 11817007|Actinomycotic infection| OR < 116224001|Complication of procedure|)\n  )\n  )\n) MINUS (\n  (< 372130007|Malignant neoplasm of skin| OR < 416675009|Furuncle| OR < 284196006|Burn of skin|)\n)
90516053	0	<< 243120004
90831706	0	< 410720000 |Pain by sensation quality (finding)| : 363698007 |Finding site (attribute)| != *
90831704	0	<405277009 |legitimerad läkare som gör specialiseringstjänstgöring|
90831705	0	(((<<102572006 |ödem i ben| OR <<444848005 |ryggödem|) MINUS <<403385000 |lymfödem i ben|) MINUS <<65605001 |ryggmärgsödem|) OR (271808008 |generaliserat ödem|) OR (248499004 |ödem i lågt belägna kroppsdelar|)
90916809	0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
90918008	0	< 185823004 |Finding of skin texture (finding)| : [0..0] 363698007 |Finding site (attribute)| = < 20795001 |Structure of skin region (body structure)|
90918009	1	<<297947008 |Finding of consistency of skin (finding)|
90918010	1	<< 366649008 |Finding of thickness of skin (finding)|
91017555	0	< 410720000 | Pain by sensation quality (finding) |: [0..0] 363698007 |Finding site (attribute)| = *
91031907	0	< 185823004 |Finding of skin texture (finding)|
91254754	0	< 185823004 | Finding of skin texture (finding) |: 363698007 |Finding site (attribute)| = 39937001 |Skin structure (body structure)|
91297603	0	< 123038009 |Specimen (specimen)|
97189003	0	<< 303533002 |gewrichtsimplantaat van heup (fysiek object)|
97189004	0	<< 304124003 |gewrichtsimplantaat van schouder (fysiek object)|
