id	negated	value
107676707	\0	< 410720000 | Pain by sensation quality (finding) |
108087403	\0	<< 185823004 |Finding of skin texture (finding)|
108087404	\0	<185823004 |Finding of skin texture (finding)|
108087405	\0	<185823004 |Finding of skin texture (finding)|:[0..0] 363698007 |Finding site| = *
108087406	\0	<185823004 |Finding of skin texture (finding)|
108087407		< 20795001 |Structure of skin region (body structure)|
108087408		<<20795001 |Structure of skin region (body structure)|
108087409	\0	<185823004 |Finding of skin texture (finding)|
108091853	\0	< 410720000 | Pain by sensation quality (finding) |
108091854	\0	< 410720000 |Pain by sensation quality (finding)|: [0..0] 363698007 |Finding site| = *
108091855	\0	< 185823004 |Finding of skin texture (finding)|
108091856	\0	< 185823004 |Finding of skin texture (finding)| MINUS (<< 366649008 | Finding of thickness of skin (finding) | OR << 297947008 | Finding of consistency of skin (finding) |)
108347155	\0	<118664000 |Procedure on body system|
108347156	\0	<118664000 |Procedure on body system| MINUS <386053000 |Evaluation procedure|
108347157	\0	<118664000 |Procedure on body system| MINUS <386053000 |Evaluation procedure|
108771003	\0	<<48694002 |angst|
108771004	\0	<<370143000 |depresjon|
109074353	\0	<< 13645005 |Chronic obstructive lung disease (disorder)| OR << 12295008 |Bronchiectasis (disorder)|
109077753	\0	< 410720000 | Pain by sensation quality (finding) |
109077754	\0	< 410720000 | Pain by sensation quality (finding) |: \n[0..0] {363698007 |Finding site| = *}
109077755	\0	<404684003 |Clinical finding (finding)|:\n{363698007 |Finding Site| = 39937001 |Skin Structure|}
109077757	\0	<404684003 |Clinical finding (finding)|:\n{363698007 |Finding Site| = 39937001 |Skin Structure|}
109127153	\0	< 410720000 | Pain by sensation quality (finding) |
109127154		<< 363698007 |Finding site (attribute)|
109127155		<< 363698007 |Finding site (attribute)|
109127156		< 410720000 |Pain by sensation quality (finding)| : 363698007 |Finding site (attribute)| = *
109127157	\0	< 185823004 |Finding of skin texture (finding)| MINUS << 366649008 |Finding of thickness of skin (finding)|
109127158	\0	< 185823004 |Finding of skin texture (finding)| : [0..0] 363698007 |Finding site (attribute)| = *
109127159	\0	< 185823004 |Finding of skin texture (finding)|
109129003		<< 297947008 |Finding of consistency of skin (finding)|
109129004		<< 366649008 |Finding of thickness of skin (finding)|
109136703	\0	< 410720000 | Pain by sensation quality (finding) |
109136704	\0	< 410720000 | Pain by sensation quality (finding) | : [0..0] {363698007 |Finding site (attribute)| = *}
